"date","fsa","dose","coverage"
2021-03-29,"L4P","dose_3",NA
2021-03-29,"L4R","dose_1",0.1675800694
2021-03-29,"L4R","dose_2",NA
2021-03-29,"L4R","dose_3",NA
2021-03-29,"L4S","dose_1",0.0908330164
2021-03-29,"L4S","dose_2",NA
2021-03-29,"L4S","dose_3",NA
2021-03-29,"L4T","dose_1",0.0629370629
2021-03-29,"L4T","dose_2",NA
2021-03-29,"L4T","dose_3",NA
2021-03-29,"L4W","dose_1",0.1309623822
2021-03-29,"L4W","dose_2",NA
2021-03-29,"L4W","dose_3",NA
2021-03-29,"L4X","dose_1",0.0810916752
2021-03-29,"L4X","dose_2",NA
2021-03-29,"L4X","dose_3",NA
2021-03-29,"L4Y","dose_1",0.1127965144
2021-03-29,"L4Y","dose_2",NA
2021-03-29,"L4Y","dose_3",NA
2021-03-29,"L4Z","dose_1",0.0774171656
2021-03-29,"L4Z","dose_2",NA
2021-03-29,"L4Z","dose_3",NA
2021-03-29,"L5A","dose_1",0.0849469327
2021-03-29,"L5A","dose_2",NA
2021-03-29,"L5A","dose_3",NA
2021-03-29,"L5B","dose_1",0.0816482583
2021-03-29,"L5B","dose_2",NA
2021-03-29,"L5B","dose_3",NA
2021-03-29,"L5C","dose_1",0.0969146554
2021-03-29,"L5C","dose_2",NA
2021-03-29,"L5C","dose_3",NA
2021-03-29,"L5E","dose_1",0.1161901962
2021-03-29,"L5E","dose_2",NA
2021-03-29,"L5E","dose_3",NA
2021-03-29,"L5G","dose_1",0.1268176734
2021-03-29,"L5G","dose_2",NA
2021-03-29,"L5G","dose_3",NA
2021-03-29,"L5H","dose_1",0.1453221893
2021-03-29,"L5H","dose_2",NA
2021-03-29,"L5H","dose_3",NA
2021-03-29,"L5J","dose_1",0.1261025589
2021-03-29,"L5J","dose_2",NA
2021-03-29,"L5J","dose_3",NA
2021-03-29,"L5K","dose_1",0.1107755662
2021-03-29,"L5K","dose_2",NA
2021-03-29,"L5K","dose_3",NA
2021-03-29,"L5L","dose_1",0.1248410343
2021-03-29,"L5L","dose_2",NA
2021-03-29,"L5L","dose_3",NA
2021-03-29,"L5M","dose_1",0.0871284958
2021-03-29,"L5M","dose_2",NA
2021-03-29,"L5M","dose_3",NA
2021-03-29,"L5N","dose_1",0.0815004914
2021-03-29,"L5N","dose_2",NA
2021-03-29,"L5N","dose_3",NA
2021-03-29,"L5R","dose_1",0.0887164379
2021-03-29,"L5R","dose_2",NA
2021-03-29,"L5R","dose_3",NA
2021-03-29,"L5V","dose_1",0.0750881191
2021-03-29,"L5V","dose_2",NA
2021-03-29,"L5V","dose_3",NA
2021-03-29,"L5W","dose_1",0.062970469
2021-03-29,"L5W","dose_2",NA
2021-03-29,"L5W","dose_3",NA
2021-03-29,"L6A","dose_1",0.0813728701
2021-03-29,"L6A","dose_2",NA
2021-03-29,"L6A","dose_3",NA
2021-03-29,"L6B","dose_1",0.0807517084
2021-03-29,"L6B","dose_2",NA
2021-03-29,"L6B","dose_3",NA
2021-03-29,"L6C","dose_1",0.0830525453
2021-03-29,"L6C","dose_2",NA
2021-03-29,"L6C","dose_3",NA
2021-03-29,"L6E","dose_1",0.089507016
2021-03-29,"L6E","dose_2",NA
2021-03-29,"L6E","dose_3",NA
2021-03-29,"L6G","dose_1",0.0779424337
2021-03-29,"L6G","dose_2",NA
2021-03-29,"L6G","dose_3",NA
2021-03-29,"L6H","dose_1",0.0951589281
2021-03-29,"L6H","dose_2",NA
2021-03-29,"L6H","dose_3",NA
2021-03-29,"L6J","dose_1",0.1439169139
2021-03-29,"L6J","dose_2",NA
2021-03-29,"L6J","dose_3",NA
2021-03-29,"L6K","dose_1",0.1498491452
2021-03-29,"L6K","dose_2",NA
2021-03-29,"L6K","dose_3",NA
2021-03-29,"L6L","dose_1",0.1518648707
2021-03-29,"L6L","dose_2",NA
2021-03-29,"L6L","dose_3",NA
2021-03-29,"L6M","dose_1",0.0852030528
2021-03-29,"L6M","dose_2",NA
2021-03-29,"L6M","dose_3",NA
2021-03-29,"L6P","dose_1",0.0633286045
2021-03-29,"L6P","dose_2",NA
2021-03-29,"L6P","dose_3",NA
2021-03-29,"L6R","dose_1",0.0641548979
2021-03-29,"L6R","dose_2",NA
2021-03-29,"L6R","dose_3",NA
2021-03-29,"L6S","dose_1",0.0838783203
2021-03-29,"L6S","dose_2",NA
2021-03-29,"L6S","dose_3",NA
2021-03-29,"L6T","dose_1",0.0786865993
2021-03-29,"L6T","dose_2",NA
2021-03-29,"L6T","dose_3",NA
2021-03-29,"L6V","dose_1",0.0695746952
2021-03-29,"L6V","dose_2",NA
2021-03-29,"L6V","dose_3",NA
2021-03-29,"L6W","dose_1",0.0992776679
2021-03-29,"L6W","dose_2",NA
2021-03-29,"L6W","dose_3",NA
2021-03-29,"L6X","dose_1",0.0584940335
2021-03-29,"L6X","dose_2",NA
2021-03-29,"L6X","dose_3",NA
2021-03-29,"L6Y","dose_1",0.0748632984
2021-03-29,"L6Y","dose_2",NA
2021-03-29,"L6Y","dose_3",NA
2021-03-29,"L6Z","dose_1",0.0786930772
2021-03-29,"L6Z","dose_2",NA
2021-03-29,"L6Z","dose_3",NA
2021-03-29,"L7A","dose_1",0.0474608044
2021-03-29,"L7A","dose_2",NA
2021-03-29,"L7A","dose_3",NA
2021-03-29,"L7B","dose_1",0.0989142175
2021-03-29,"L7B","dose_2",NA
2021-03-29,"L7B","dose_3",NA
2021-03-29,"L7C","dose_1",0.0766474219
2021-03-29,"L7C","dose_2",NA
2021-03-29,"L7C","dose_3",NA
2021-03-29,"L7E","dose_1",0.0893954632
2021-03-29,"L7E","dose_2",NA
2021-03-29,"L7E","dose_3",NA
2021-03-29,"L7G","dose_1",0.0990705325
2021-03-29,"L7G","dose_2",NA
2021-03-29,"L7G","dose_3",NA
2021-03-29,"L7J","dose_1",0.0893819992
2021-03-29,"L7J","dose_2",NA
2021-03-29,"L7J","dose_3",NA
2021-03-29,"L7K","dose_1",0.0975886883
2021-03-29,"L7K","dose_2",NA
2021-03-29,"L7K","dose_3",NA
2021-03-29,"L7L","dose_1",0.1099634259
2021-03-29,"L7L","dose_2",NA
2021-03-29,"L7L","dose_3",NA
2021-03-29,"L7M","dose_1",0.1037611221
2021-03-29,"L7M","dose_2",NA
2021-03-29,"L7M","dose_3",NA
2021-03-29,"L7N","dose_1",0.1477670753
2021-03-29,"L7N","dose_2",NA
2021-03-29,"L7N","dose_3",NA
2021-03-29,"L7P","dose_1",0.1090047393
2021-03-29,"L7P","dose_2",NA
2021-03-29,"L7P","dose_3",NA
2021-03-29,"L7R","dose_1",0.1299848985
2021-03-29,"L7R","dose_2",NA
2021-03-29,"L7R","dose_3",NA
2021-03-29,"L7S","dose_1",0.156099943
2021-03-29,"L7S","dose_2",NA
2021-03-29,"L7S","dose_3",NA
2021-03-29,"L7T","dose_1",0.1418664973
2021-03-29,"L7T","dose_2",NA
2021-03-29,"L7T","dose_3",NA
2021-03-29,"L8B","dose_1",0.1063511365
2021-03-29,"L8B","dose_2",NA
2021-03-29,"L8B","dose_3",NA
2021-03-29,"L8E","dose_1",0.0927971517
2021-03-29,"L8E","dose_2",NA
2021-03-29,"L8E","dose_3",NA
2021-03-29,"L8G","dose_1",0.150840242
2021-03-29,"L8G","dose_2",NA
2021-03-29,"L8G","dose_3",NA
2021-03-29,"L8H","dose_1",0.0820030614
2021-03-29,"L8H","dose_2",NA
2021-03-29,"L8H","dose_3",NA
2021-03-29,"L8J","dose_1",0.0856504216
2021-03-29,"L8J","dose_2",NA
2021-03-29,"L8J","dose_3",NA
2021-03-29,"L8K","dose_1",0.1219132103
2021-03-29,"L8K","dose_2",NA
2021-03-29,"L8K","dose_3",NA
2021-03-29,"L8L","dose_1",0.0753549002
2021-03-29,"L8L","dose_2",NA
2021-03-29,"L8L","dose_3",NA
2021-03-29,"L8M","dose_1",0.0937965261
2021-03-29,"L8M","dose_2",NA
2021-03-29,"L8M","dose_3",NA
2021-03-29,"L8N","dose_1",0.0981913844
2021-03-29,"L8N","dose_2",NA
2021-03-29,"L8N","dose_3",NA
2021-03-29,"L8P","dose_1",0.1554190472
